Username,rawTweet,hashtags,mentions,fromUser
Alexanderh502,"@BArevalodeLeon Vos maje, pena deberia darte de vivir de los logros de tu papa. Bueno para nada.",,BArevalodeLeon,
anti_chairosgt,@josejorgemonroy @__VaderTG @JSandoval1982 @MPguatemala @BArevalodeLeon https://t.co/1WB3eCQsv7,,"josejorgemonroy, __VaderTG, JSandoval1982, MPguatemala, BArevalodeLeon",
anti_chairosgt,@josejorgemonroy @__VaderTG @JSandoval1982 @MPguatemala @BArevalodeLeon Ya vino este cerote https://t.co/YwIIPWXAI2,,"josejorgemonroy, __VaderTG, JSandoval1982, MPguatemala, BArevalodeLeon",
komunitarista,"Señor presidente,don @BArevalodeLeon, un problema con causas estructurales no se resuelve con paliativos .
Continuar con la reforma agraria iniciada en la primera democrática es una salida, no solo viable sino necesaria para salir del subdesarrollo.",,BArevalodeLeon,GuatemalaGob
GuatemalaGob,"El presidente @BArevalodeLeon y el ministro del @MagaGuatemala entregaron más de 9,600 raciones de alimentos básicos a hogares de Santa María Nebaj, Quiché con el objetivo de combatir la desnutrición. 🍚🫘

Apoyando a las familias y garantizando el derecho a la alimentación, Guatemala sale adelante.",,"BArevalodeLeon, MagaGuatemala",
Gildamaritza,"@OlsenPsico @BArevalodeLeon Ni modo , a estas alturas ni el anterior , por qué manipulan las cosas",,"OlsenPsico, BArevalodeLeon",
josejorgemonroy,@__VaderTG @JSandoval1982 @MPguatemala Jijijijijijiji lo mismo que el realizó en el caso contra el presidente @BArevalodeLeon  que idiota,,"__VaderTG, JSandoval1982, MPguatemala, BArevalodeLeon",
StefanyCal76234,@MendiaMariela @BArevalodeLeon Es correcto. Pero los fachos dirán lo contrario,,"MendiaMariela, BArevalodeLeon",
HermaLang,@ElQueNews @__VaderTG @BancadaSemilla @BArevalodeLeon @AVillagran502 Pinche tiki en bolsa,,"ElQueNews, __VaderTG, BancadaSemilla, BArevalodeLeon, AVillagran502",
df_romero,"@JoeAlfMorataya @MendiaMariela @BArevalodeLeon La señora es fan y hasta le aplaude q sea huevon.

No puede ser 🫠",,"JoeAlfMorataya, MendiaMariela, BArevalodeLeon",
SiHuboGenocidio,@UbaldoMacu @MPguatemala @santipalomov @BArevalodeLeon Para todo se valen del insecto rastrero… bobas…,,"UbaldoMacu, MPguatemala, santipalomov, BArevalodeLeon",
Ruff58723096,@MendiaMariela @JoeAlfMorataya @BArevalodeLeon Le arde el cutete? Pomadita,,"MendiaMariela, JoeAlfMorataya, BArevalodeLeon",
Fantasmaguate,@__VaderTG @BArevalodeLeon @USAIDGuate @CongresoGuate ¡Hasta tu nana la shinola tiene una calcomanía de esas en las nalgas! https://t.co/hTMQpdwTSZ,,"__VaderTG, BArevalodeLeon, USAIDGuate, CongresoGuate",
RudySalgue,Urge que funcione el Puerto Quetzal @BArevalodeLeon @FelixSinExcusas @CongresoGuate @AlvaroArzuE @AllanERodriguez @VENENO_CRUZ @aldodavila_gt @AztecaGuate @frattigiovanni @RaulFalla31 @samuel_pz  Métanle candela y voluntad política a este tema https://t.co/PvtnPTxr7Y,,"BArevalodeLeon, FelixSinExcusas, CongresoGuate, AlvaroArzuE, AllanERodriguez, VENENO_CRUZ, aldodavila_gt, AztecaGuate, frattigiovanni, RaulFalla31, samuel_pz",
cguate2020,@__VaderTG @BArevalodeLeon @USAIDGuate @CongresoGuate Pues hay q exigir a la clica impuesta que explique a detalle,,"__VaderTG, BArevalodeLeon, USAIDGuate, CongresoGuate",
VanessaHerrer02,"Ni madres, ni Bernardo, menos la ministra que ha hecho lo que nadie se preocupó en 4 meses, en 8 lo de dos gobiernos juntos, han hecho nada que sea vergonzoso y menos contra el país, quien es tan bajo de ponerse a ver que fuma. 
La mayoría se pone bolo y maneja, le pega a su familia, pero quieren juzgar un puto cigarro. 
No pues comparar la basura que par esta época no tenía nada el pueblo y ellos ya habían hecho millonarios a todos en su familia y a narcos por montón, mafias mantenidas por el estado. 
Este país merece otro Giamattei, tiene el autoestima tan hecho mierda que quieren culpar a otro de lo que hizo gente inútil y que ahora sean angelitos. PARA JUZGR, sopecen por qué cuando jimi no hizo nada en las escuelas no lo cuestionaron y por algo personal se pasan a rebanar a alguien por algo personal que no tiene que ver con practicas asquerosas. 
A mi no me vienen con el cuento barato que él fuma, que malo y es más de lo mismo, puede beber si quiere en su tiempo libre, porque tiene derecho como todos y nunca ha llegado de goma, mal dormido, mal presentado y hablando estupideces, mucho hace en seguir de pie con un país tan falt de cerebro y se mete como vieja chismosa, aunque les cuelgue, son viejas de barrio barato sin nada que hacer",,"adolforojas07, BArevalodeLeon",
edwinvfuentes,@BArevalodeLeon Solo vos si sos la vergüenza falto de caracter y haragan hasta ya no,,BArevalodeLeon,
MariaMartaUmaa1,@WilsonGG16 @GuatemalaGob @BArevalodeLeon Privatizar !! La excusa perfecta,,"WilsonGG16, GuatemalaGob, BArevalodeLeon",
Eddie99243836,@BArevalodeLeon No creo que tu tata fuera tan mula como vos!! SOS una mierda,,BArevalodeLeon,
KeNnEtKdA,@giovannygali @tacticayseggt @BArevalodeLeon @FJimenezmingob @PNCdeGuatemala Es video de 2021 Campeón,,"giovannygali, tacticayseggt, BArevalodeLeon, FJimenezmingob, PNCdeGuatemala",
Eddie99243836,@BArevalodeLeon Quien iba a decir que tendría a tan grande escoria,,BArevalodeLeon,
Eddie99243836,"@BArevalodeLeon Mejor se hubiera echado una paja, no hubieras nacido malparido homosexual!!",,BArevalodeLeon,
CrticaConstru20,@LuisAlbert98610 @OlsenPsico @BArevalodeLeon ¿Cuál patrón si solo los mucos son empleados?,,"LuisAlbert98610, OlsenPsico, BArevalodeLeon",
jaehsaurio,"@JrafaelRev @NenucosM81863 @BArevalodeLeon @mingobguate pues tenia 16 años, era obvio que le haría caso a su papá.",,"JrafaelRev, NenucosM81863, BArevalodeLeon, mingobguate",
999accendini,@NenucosM81863 @BArevalodeLeon @mingobguate 💯,,"NenucosM81863, BArevalodeLeon, mingobguate",
__DexterGT,@OlsenPsico @BArevalodeLeon Coloca el video cuando fue Miguelito 🤣,,"OlsenPsico, BArevalodeLeon",
Gabriel26688944,@BArevalodeLeon No podra liberar a los mesquinos del pueblo pero demostrado que viven angustiados por no obtener  coimas y ahora los cacos del congreso quiere. Aumento no lo permita esos son aprovechados,,BArevalodeLeon,
Gabriel26688944,@BArevalodeLeon Mano dura presidente NO HAGA QUEDAR MAL A SU PAPA QUW LA PORQUERIA NO LO ENSUCIE,,BArevalodeLeon,
AGN_noticias,"#NacionalesAGN | En Nebaj, Quiché, se llevó a cabo este miércoles una actividad de entrega de raciones de alimentos en la cual participó el presidente @BArevalodeLeon y el ministro del @MagaGuatemala.

🖊@Brenda_AGN

Los detalles
https://t.co/P7C5j0iE2Y",NacionalesAGN,"BArevalodeLeon, MagaGuatemala, Brenda_AGN",
juliusguate,@vasquezrivera @__VaderTG @BArevalodeLeon @USAIDGuate @CongresoGuate Es que no llega,,"vasquezrivera, __VaderTG, BArevalodeLeon, USAIDGuate, CongresoGuate",
MrDogo35,"sigue el hueveo descarado de la gente de semilla

Tengan un poco de verguenza señores 

dejen de saquear el Pais

@BancadaSemilla 
@GuatemalaGob 
@BArevalodeLeon 
@MPguatemala 
@KarinHerreraVP  #municipalidadantigua",municipalidadantigua,"BancadaSemilla, GuatemalaGob, BArevalodeLeon, MPguatemala, KarinHerreraVP",arronchopa
arronchopa,"Siguen los casos de CORRUPCIÓN, ahora con el Alcalde CHAIRO Juan Manuel Asturias de la Antigua, miren el GRAN TRANCE QUE QUIEREN HACER con los IMPUESTOS de los antigueños🛑🛑🛑🛑 https://t.co/Eh4yirFEcb",,,
leon_wen60664,"@Waltermusico100 @BArevalodeLeon Guarde su opinión, es una de las millones de cosas que no me interesan.🙂 https://t.co/gkep1ckBmy",,"Waltermusico100, BArevalodeLeon",
adolforojas07,"@VanessaHerrer02 Tiene razón, pero la oferta politica de @BArevalodeLeon fue que sería diferente, que acabaría con las malas  prácticas  de funcionarios anteriores y resultó ser lo mismo ""Un Corrupto mas""",,"VanessaHerrer02, BArevalodeLeon",
LuisAlbert98610,@HugoMor93187127 @OlsenPsico @BArevalodeLeon Le duele que no lo trataran como a uno de sus patrones... vea el video para que sufra... las migajas le tiran sus patrones y con eso ya está contento... muerto de hambre...,,"HugoMor93187127, OlsenPsico, BArevalodeLeon",
El_sabioAlex,"@UbaldoMacu @MPguatemala @santipalomov @BArevalodeLeon Ejemplo a seguir, sigue adelante y que los fraudulentos entiendan que deben dar explicación de todo",,"UbaldoMacu, MPguatemala, santipalomov, BArevalodeLeon",
Redime07,"Continuarán los despidos de buenos trabajadores en correos y contratarán a sus allegados en correos. Como permite esto? @FelixSinExcusas  @BArevalodeLeon , donde quedó la 0 corrupción en su gobierno? Yo confié es ustedes.",,"FelixSinExcusas, BArevalodeLeon",
Waltermusico100,@leon_wen60664 @BArevalodeLeon https://t.co/XefuUYM11z,,"leon_wen60664, BArevalodeLeon",
LuisAlbert98610,@CrticaConstru20 @OlsenPsico @BArevalodeLeon Recuerde lo que le gritaron a uno de sus patrones...,,"CrticaConstru20, OlsenPsico, BArevalodeLeon",
BenitoC67601310,"@Cristhian2820 @EmisorasUnidas @noel_solis @BArevalodeLeon @RQuinonezL Yo no sé si todavía exista, por que todo se lo huevean... Pero... Y el conservatorio nacional de música..?",,"Cristhian2820, EmisorasUnidas, noel_solis, BArevalodeLeon, RQuinonezL",
LuisAlbert98610,@JavierR07772901 @OlsenPsico @BArevalodeLeon Tampoco usted con la realidad... recuerde como le gritaron a uno de sus patrones... vea el video...,,"JavierR07772901, OlsenPsico, BArevalodeLeon",
MagaGuatemala,"Participa el presidente de la República, @BArevalodeLeon, junto con el ministro @MaynorEstradaGT; la viceministra del #VISAN Klemen Gamboa; y representantes de la @FAOGuatemala. https://t.co/o9LVLhxiO9",VISAN,"BArevalodeLeon, MaynorEstradaGT, FAOGuatemala",
KeKevinfc10,"@__VaderTG @BArevalodeLeon @USAIDGuate @CongresoGuate Por lo mismo que muchas computadoras en el MP y otras instituciones del sistema judicial también lo tienen, imbecil
...",,"__VaderTG, BArevalodeLeon, USAIDGuate, CongresoGuate",
dulkelheit,@NenucosM81863 @BArevalodeLeon @mingobguate https://t.co/oDKTRZoIdo,,"NenucosM81863, BArevalodeLeon, mingobguate",
JrafaelRev,"@jaehsaurio @NenucosM81863 @BArevalodeLeon @mingobguate No se le critica por au talento, se le critica porque permitió que el papá le truncara la carrera, tenía muchísimo que dar, pero la ambición del señor hizo que su popularidad descendiera mucho.",,"jaehsaurio, NenucosM81863, BArevalodeLeon, mingobguate",
Waltermusico100,@BArevalodeLeon Su mejor legado fue la sífilis y gonorrea en gente inocente.,,BArevalodeLeon,
LuisAlbert98610,@JavierR07772901 @OlsenPsico @BArevalodeLeon Todos sus enemigos eso es lo que esperan... pero van a comer m...,,"JavierR07772901, OlsenPsico, BArevalodeLeon",
Manuhgth,@UbaldoMacu @BArevalodeLeon @santipalomov @MPguatemala 🤣🤣🤣,,"UbaldoMacu, BArevalodeLeon, santipalomov, MPguatemala",
VicenteCarrera_,"Con esa calidad analítica no sería extraño que @BArevalodeLeon termine su mandato y Curruchiche no demuestre que Arévalo cometió fraude electoral. 

Todos los casos de le caen y permite que asesinos y ladrones estén en libertad. #TontolabaCurruchiche",TontolabaCurruchiche,BArevalodeLeon,RCurruchic25741
RCurruchic25741,Trump ganó el debate y será Presidente. Compitió contra Kamala y los moderadores. Se vienen cosas a partir del 20 de enero de 2025. https://t.co/ssmTOiCIpI,,,
LuisAlbert98610,@OlsenPsico @BArevalodeLeon Igaul que a miguelito...,,"OlsenPsico, BArevalodeLeon",
Cristhian2820,"@EmisorasUnidas @noel_solis Que el señor Presidente @BArevalodeLeon deje callados a los miserables de la Muni. 
Contruya un centro cultural y le demuestra al inútil d3 @RQuinonezL que si se puede.",,"EmisorasUnidas, noel_solis, BArevalodeLeon, RQuinonezL",
Luislarachito,@__VaderTG @BArevalodeLeon @USAIDGuate @CongresoGuate Malditos hijos de puta,,"__VaderTG, BArevalodeLeon, USAIDGuate, CongresoGuate",
EAAL80,@NenucosM81863 @BArevalodeLeon @mingobguate Y que pvt@s la cita al poporopo  hediondo y al mingob?,,"NenucosM81863, BArevalodeLeon, mingobguate",
intebonsa,"@FJimenezmingob @PNCdeGuatemala @mingobguate @DTransitoPNC @_SPGuatemala @DiariodeCA @AGN_noticias @Radio_TGW @GuatemalaGob @BArevalodeLeon La misma 💩, los mismos policias extorsionan, trafican y hasta matan; nunca sabemos que nos espera cada vez que nos hacen el alto, para serles honesto me aguevo cada vez que me paran los chontes, estamos en la mierda mucha!!",,"FJimenezmingob, PNCdeGuatemala, mingobguate, DTransitoPNC, _SPGuatemala, DiariodeCA, AGN_noticias, Radio_TGW, GuatemalaGob, BArevalodeLeon",
Redime07,"Ayer fue removida de su cargo como Directora de correos a una excelente profesional, dando paso a que coloquen a una persona que va a ser afín al trabajo corrupto del Viceministro de Comunicaciones Solares y su flamante asesor @FelixSinExcusas  @BArevalodeLeon",,"FelixSinExcusas, BArevalodeLeon",
CarlosJ42770497,"@OlsenPsico @BArevalodeLeon Si sigue asi como ahora, un año mas le doy y vamos a ver si no es abucheado.",,"OlsenPsico, BArevalodeLeon",
AuCastMo,"@arronchopa @BArevalodeLeon nos llegó ""LA PRIMAVERA DE LOS CORRUPTOS"" verdad 0te. No has cumplido con ni mierda q prometiste en tu camapaña, solo te has dedicado a huebiar junto a tus tentáculos como estos delincuentes ""con las manos en la masa"" q pusiste en cada puesto al servicio público",,"arronchopa, BArevalodeLeon",
Ambientalistad1,"@BArevalodeLeon Enorme pedagogo su padre. Esperamos que a la luz de varios de sus planteamientos (que estén vigentes), se reoriente el proceso educativo, ya que no son alentadores los resultados de los niños y jóvenes. Aprendí los ideales de su padre en la USAC.",,BArevalodeLeon,
Betancurth28388,"@__VaderTG @BArevalodeLeon @USAIDGuate @CongresoGuate Éso los donaron en la era del gobierno parásito de Giammatiie, a la chinola https://t.co/GIkBvoZ8vf",,"__VaderTG, BArevalodeLeon, USAIDGuate, CongresoGuate",
jaque_mate2,"@leraovalle @Perico8461 @JLFont001 @concriteriogt @BArevalodeLeon @KarinHerreraVP @karinapazGt @BancadaSemilla @samuel_pz Sr Arévalo, la gente ya sabe hasta la saciedad de donde viene Ud y quien era su padre. Ya déjelo descansar en Paz porque cada vez que lo menciona debe darle cólera haber engendrado semejante huevón motero. El pueblo está con hambre, enfermedad y sin trabajo. Ya no chingue!!!",,"leraovalle, Perico8461, JLFont001, concriteriogt, BArevalodeLeon, KarinHerreraVP, karinapazGt, BancadaSemilla, samuel_pz",
GuillermoEstua5,@__VaderTG @BArevalodeLeon @USAIDGuate @CongresoGuate Pero si esa mierda hasta papel para cagar le compraba al MP....que alegas?,,"__VaderTG, BArevalodeLeon, USAIDGuate, CongresoGuate",
CsarMolbar,@OlsenPsico @BArevalodeLeon Por esw mamarracho no gano la sele. Solo a salarlos fue. Inutil,,"OlsenPsico, BArevalodeLeon",
F_Enriquez85,@FJimenezmingob @PNCdeGuatemala @mingobguate @DTransitoPNC @_SPGuatemala @DiariodeCA @AGN_noticias @Radio_TGW @GuatemalaGob @BArevalodeLeon Ojalá vinieran para COATEPEQUE 👍👍👍,,"FJimenezmingob, PNCdeGuatemala, mingobguate, DTransitoPNC, _SPGuatemala, DiariodeCA, AGN_noticias, Radio_TGW, GuatemalaGob, BArevalodeLeon",
Maza110VAC,"@ruda_gt Cada noticia de estas, donde no se analiza y no se toman las acciones adecuadas, me decepciona @BArevalodeLeon junto con su clan @BancadaSemilla y  @msemillagt y no digamos una noticia relacionada a seguridad, la decepción es mayor y el flamante @samuel_pz eclipsado",,"ruda_gt, BArevalodeLeon, BancadaSemilla, msemillagt, samuel_pz",
CesarTajin10,"@FJimenezmingob @PNCdeGuatemala @mingobguate @DTransitoPNC @_SPGuatemala @DiariodeCA @AGN_noticias @Radio_TGW @GuatemalaGob @BArevalodeLeon Si xq en varias ocasiones he visto que hay retenes de motos, paran a una y se les va huyendo y no hacen nada por seguirla, tal vez allí va un delincuente",,"FJimenezmingob, PNCdeGuatemala, mingobguate, DTransitoPNC, _SPGuatemala, DiariodeCA, AGN_noticias, Radio_TGW, GuatemalaGob, BArevalodeLeon",
iketick,@__VaderTG @BArevalodeLeon @USAIDGuate @CongresoGuate Parece que alguien esta arreglando papeles para salir del país....,,"__VaderTG, BArevalodeLeon, USAIDGuate, CongresoGuate",
Mannyrosales27,@NenucosM81863 @BArevalodeLeon @mingobguate talentazo..,,"NenucosM81863, BArevalodeLeon, mingobguate",
Lex_Shinigami,@BArevalodeLeon El señor Arévalo se a de estar revolcando en su tumba de ver qué no es ni la sombra de lo que el fue. Que desgracia,,BArevalodeLeon,
SenatorGT,@ElQueNews @BancadaSemilla @BArevalodeLeon @AVillagran502 https://t.co/ABtZmCJXge,,"ElQueNews, BancadaSemilla, BArevalodeLeon, AVillagran502",
CamineroCi14202,"@CIV_Guatemala @FelixSinExcusas @BArevalodeLeon se los dije, sindicato harto del abuso de Adrián Zapata, ha bajado sueldos, y se hace el ciego de los millones que se llevan los asesores de infraestructura! Hueveo de millones de quetzales. https://t.co/r8bEY22pxd",,"CIV_Guatemala, FelixSinExcusas, BArevalodeLeon",
Mesas752066,"@__VaderTG @BArevalodeLeon @USAIDGuate @CongresoGuate Jajajaja, este 0tón con cerebro de kk... Querés que te muestre que esas insignias o calcomanías también las usaron tus patrones de @jimmymoralesgt y @DrGiammattei?? Sos un burro.",,"__VaderTG, BArevalodeLeon, USAIDGuate, CongresoGuate, jimmymoralesgt, DrGiammattei",
dosisincompleta,"@oco_motora @__VaderTG @BArevalodeLeon @USAIDGuate @CongresoGuate Era responderle ,  no humillarlo. https://t.co/ZUY0sGPtAp",,"oco_motora, __VaderTG, BArevalodeLeon, USAIDGuate, CongresoGuate",
walteryesky,@BArevalodeLeon Como no va a seguir vivo su recuerdo si trajo el sífilis y la mayoría de enfermedades venéreas usando de conejillos de indias a los Guatemaltecos,,BArevalodeLeon,
SalQuevedo,"@Noti_Atlantico @GuatemalaGob Cuál es el problema si así lo hacían los de Jimmy, Colón y Pérez Molina Durán los lame panzas de @BArevalodeLeon @BArevalodeLeon",,"Noti_Atlantico, GuatemalaGob, BArevalodeLeon, BArevalodeLeon",
tv_profe,@ElQueNews @BancadaSemilla @BArevalodeLeon @AVillagran502 Falsoooooo.,,"ElQueNews, BancadaSemilla, BArevalodeLeon, AVillagran502",
alvarado66gt,"@BArevalodeLeon @samuel_pz @ThelmaAldana y a los asquerosos de @usembassyguate TRUMP será el nuevo presidente de US y ustedes pagarán por sus delitos. Pronto se les acaba su primavera de abusos. Así están todas las encuestas es el fin de los democRATAS. Tic toc, tic toc. https://t.co/o3PtCaBTtW",,"BArevalodeLeon, samuel_pz, ThelmaAldana, usembassyguate",
Richard03821782,"@BArevalodeLeon Hola buena tarde Señor Presidente, quisiera poder hablar con usted sobre una situación que nos perjudica como profesores del sector privado, teníamos el beneficio del irtra pero debido a nuevas disposiciones lo perderemos, necesitamos su apoyo para no perderlo",,BArevalodeLeon,
Justiciero224,"@jczamora @UNHumanRights @UN_SPExperts @CIDH @RELE_CIDH @PVacaV @volker_turk @BArevalodeLeon @pressfreedom @RSF_inter @caoilfhionnanna Shoo, con todo respeto pero su tata ha sido una lacra, que extorsiono a diestra y siniestra en tiempo de esa porqueria llamada cicig, a Ud no le conozco y por respeto a su persona no uso las palabras que deberia, pero El nunca ha velados por DDHH",,"jczamora, UNHumanRights, UN_SPExperts, CIDH, RELE_CIDH, PVacaV, volker_turk, BArevalodeLeon, pressfreedom, RSF_inter, caoilfhionnanna",
StuardoBarrios7,@oco_motora @__VaderTG @BArevalodeLeon @USAIDGuate @CongresoGuate Vergas hasta aquí se escuchó el chipotazo 😂,,"oco_motora, __VaderTG, BArevalodeLeon, USAIDGuate, CongresoGuate",
DiariodeCA,"#EnVivoDCA | | El presidente @BArevalodeLeon
visita productores en transición a generadores de ingresos, proyecto del @MagaGuatemala
y la @FAOGuatemala.",EnVivoDCA,"BArevalodeLeon, MagaGuatemala, FAOGuatemala",GuatemalaGob
GuatemalaGob,"🔴 | El presidente @BArevalodeLeon visita productores en transición a generadores de ingresos, proyecto del @MagaGuatemala y la FAO. https://t.co/35duOQQg8x",,"BArevalodeLeon, MagaGuatemala",
siasdj,"@BArevalodeLeon Lamentablemente, no tenes ni un ápice de los huevos que tuvo tu papá. Sos una decepción total, no esperaba mucho de vos cuando te di mi voto y aun así, lograste decepcionarme.

La próxima vez que queras compararte con tu papá, quítate el Internet para no compartirlo.",,BArevalodeLeon,
recinitoslou90,@_Pacam Pero si @BArevalodeLeon es hueco también 😒,,"_Pacam, BArevalodeLeon",
Machl1804,"@Eriol_Gt @BArevalodeLeon Ojo al dato, el que no sabe producir ni guardar, no hay dinero que le pueda alcanzar, el dinero no cambia a las personas, sólo amplifica la buena o mala forma de ser y vivir. 

Bien pueden ser los 150 mil millones para la caprichosa, pero se le volverán agua entre las manos",,"Eriol_Gt, BArevalodeLeon",
jerry72559553,@ElQueNews @BancadaSemilla @BArevalodeLeon @AVillagran502 Este Arevalo tiene la cara del demonio 👿,,"ElQueNews, BancadaSemilla, BArevalodeLeon, AVillagran502",
KATIASMOR,@__VaderTG @BArevalodeLeon @USAIDGuate @CongresoGuate Tranzan la info de los guatemaltecos,,"__VaderTG, BArevalodeLeon, USAIDGuate, CongresoGuate",
el_incomodo88,@oco_motora @__VaderTG @BArevalodeLeon @USAIDGuate @CongresoGuate Responde pues maldito maricon,,"oco_motora, __VaderTG, BArevalodeLeon, USAIDGuate, CongresoGuate",
enriquenimacach,@ElQueNews @BancadaSemilla @BArevalodeLeon @AVillagran502 Hacele yemas,,"ElQueNews, BancadaSemilla, BArevalodeLeon, AVillagran502",
rusherpop1,"@FJimenezmingob @PNCdeGuatemala @mingobguate @DTransitoPNC @_SPGuatemala @DiariodeCA @AGN_noticias @Radio_TGW @GuatemalaGob @BArevalodeLeon Señor ministro por si pudiera mandar más seguridad en san Pedro ayampuc villas, brisas de san Luis altos de Santa María, llanos, no hay buses en esta área ya hace dos días por qué tienen amenazados a los choferes de estos buses no tenemos transporte, supongo que son los extorsió",,"FJimenezmingob, PNCdeGuatemala, mingobguate, DTransitoPNC, _SPGuatemala, DiariodeCA, AGN_noticias, Radio_TGW, GuatemalaGob, BArevalodeLeon",
colochitaaaaaa,"@DenunciasMuni No sean tan hijos de su pinche madre @RQuinonezL , @CongresoGuate , @muniguate ... que hueveo más descarado.

@GuatemalaGob @BArevalodeLeon  como que ya hay que develarse unos meses para revisar cada contratación de las instituciones públicas 🤨.",,"DenunciasMuni, RQuinonezL, CongresoGuate, muniguate, GuatemalaGob, BArevalodeLeon",
el_incomodo88,@Peterfuentes21 @__VaderTG @BArevalodeLeon @USAIDGuate @CongresoGuate Porque es mula el HDP,,"Peterfuentes21, __VaderTG, BArevalodeLeon, USAIDGuate, CongresoGuate",
Genaroc04140825,"@TN23NOTICIAS @BArevalodeLeon No es desalojar, es no aceptar renovar los negocios de la Muni.",,"TN23NOTICIAS, BArevalodeLeon",
MarioSa70340783,@ElQueNews @BancadaSemilla @BArevalodeLeon @AVillagran502 https://t.co/24FapsjHDJ,,"ElQueNews, BancadaSemilla, BArevalodeLeon, AVillagran502",
Billyarmando,Cualquier parecido con @BArevalodeLeon  y los zemía no es coincidencia.,,BArevalodeLeon,capTercio
capTercio,Ésto es una genialidad. https://t.co/0ogr73IUC4,,,
gilbertc72,"@__VaderTG @BArevalodeLeon @USAIDGuate @CongresoGuate Ja ja ja risa das, como que no supieras todo lo que ayuda USA AID por ejemplo anda al @MPguatemala se quejan de intromisión pero hay varios equipos donados lo que permite a las autoridades quedarse con la caja chica",,"__VaderTG, BArevalodeLeon, USAIDGuate, CongresoGuate, MPguatemala",
juankrpg,@__VaderTG @BArevalodeLeon @USAIDGuate @CongresoGuate Jajaja siempre te sale el tiro por la culata va vos imbécil...,,"__VaderTG, BArevalodeLeon, USAIDGuate, CongresoGuate",
jzamorano1965,@GuatemalaGob @BArevalodeLeon y la Greicy Domenica porque no esta ? es su distrito?,,"GuatemalaGob, BArevalodeLeon",
SCEPgt,"🔴 | El presidente @BArevalodeLeon visita productores en transición a generadores de ingresos, proyecto del @MagaGuatemala y la FAO.",,"BArevalodeLeon, MagaGuatemala",GuatemalaGob
rdldag16,@FJimenezmingob @PNCdeGuatemala @mingobguate @DTransitoPNC @_SPGuatemala @DiariodeCA @AGN_noticias @Radio_TGW @GuatemalaGob @BArevalodeLeon 🤭🤭🤭,,"FJimenezmingob, PNCdeGuatemala, mingobguate, DTransitoPNC, _SPGuatemala, DiariodeCA, AGN_noticias, Radio_TGW, GuatemalaGob, BArevalodeLeon",
maurinewyork,@__VaderTG @BArevalodeLeon @USAIDGuate @CongresoGuate 🤡pineda NO podes ser más imbécil porque dejarias de ser el hijo de la gran puta favorito de la Puta aquella!!! 😅😂😂😂,,"__VaderTG, BArevalodeLeon, USAIDGuate, CongresoGuate",
Chejo891120,@__VaderTG @BArevalodeLeon @USAIDGuate @CongresoGuate Yes máster tiene mierda en la cabeza y también es un come mierda jajajajajaja,,"__VaderTG, BArevalodeLeon, USAIDGuate, CongresoGuate",
MyEyes_AdoredU,@oco_motora @__VaderTG @BArevalodeLeon @USAIDGuate @CongresoGuate Jajaja que imbécil ese pineda,,"oco_motora, __VaderTG, BArevalodeLeon, USAIDGuate, CongresoGuate",
MNaojil,@oco_motora @__VaderTG @BArevalodeLeon @USAIDGuate @CongresoGuate Jaja que tan pura mierda se ha vuelto @__VaderTG que ahora solo stickers reporta en sus #OnFayer. Cosita mierdosa.,OnFayer,"oco_motora, __VaderTG, BArevalodeLeon, USAIDGuate, CongresoGuate, __VaderTG",
GuaTv_,"🔴 | El presidente @BArevalodeLeon visita productores en transición a generadores de ingresos, proyecto del @MagaGuatemala y la FAO. https://t.co/sCMSnhMHve",,"BArevalodeLeon, MagaGuatemala",
SCSPGT,"🔴 | El presidente @BArevalodeLeon visita productores en transición a generadores de ingresos, proyecto del @MagaGuatemala y la FAO. https://t.co/rzTX1Wl68T",,"BArevalodeLeon, MagaGuatemala",
valfred1979,@__VaderTG @BArevalodeLeon @USAIDGuate @CongresoGuate Por la misma razón que los muebles del MP también,,"__VaderTG, BArevalodeLeon, USAIDGuate, CongresoGuate",
JoseManuelMuHe,"@__VaderTG @BArevalodeLeon @USAIDGuate @CongresoGuate Esa gente que vende a Guatemala si deberia de pagar, debe ser la misma que tienen los del MP en la cabeza. 🤣🤣🤣 SOS un imbécil Vader..... 🤣🤣🤣 https://t.co/jDy5KVYBMJ",,"__VaderTG, BArevalodeLeon, USAIDGuate, CongresoGuate",
197674A,"@EmisorasUnidas @BArevalodeLeon asi como se recuerda de el tambien asi junte huevos para dirigir este pais como es,, ya no ser mas un huevos de agua",,"EmisorasUnidas, BArevalodeLeon",
Atomant51659529,@__VaderTG @BArevalodeLeon @USAIDGuate @CongresoGuate Si sos imbécil va https://t.co/m3cPN7ga5x,,"__VaderTG, BArevalodeLeon, USAIDGuate, CongresoGuate",
OmaricelaA,@julius1818 @NenucosM81863 @BArevalodeLeon @mingobguate @fabiolasinger Si porque en Guatemala nos encanta aplaudir a cantantes que ni cantan toda vez sean de otros países.  Para variar nosotros mismos menospreciando lo nuestro.,,"julius1818, NenucosM81863, BArevalodeLeon, mingobguate, fabiolasinger",
OmaricelaA,"@NenucosM81863 @BArevalodeLeon @mingobguate Pero, pero, pero, porque rindiendo honor a los gringos.  Sería muy agradable escucharla cantar el nuestro.",,"NenucosM81863, BArevalodeLeon, mingobguate",
