Username,rawTweet,hashtags,mentions,fromUser
Un_tal_Puyol,@IvanDuque @BArevalodeLeon https://t.co/PrgEUwJPxh,,"IvanDuque, BArevalodeLeon",
BenitoC67601310,"@ElQueNews DESINFORMACION... Ayer fueron entregadas 9,637 raciones, en las poblaciones más vulnerables... Y hasta yes máster, estaba molesto con la entrega, por que no le pudo meter mano al dinero de dichas raciones... GRACIAS @BArevalodeLeon por esa ayuda. https://t.co/5NzlznTGmq",,"ElQueNews, BArevalodeLeon",
Taga07_,@BArevalodeLeon No le llega años tobillos,,BArevalodeLeon,
Pablvito,@BenitoC67601310 @BArevalodeLeon El net de semilla haciendo la cuota del día,,"BenitoC67601310, BArevalodeLeon",
BenitoC67601310,@anti_chairosgt @ElQueNews @GuatemalaGob @BArevalodeLeon Desde muy temprano me querés poner el weco.,,"anti_chairosgt, ElQueNews, GuatemalaGob, BArevalodeLeon",
SCSPGT,🔴 |  El presidente @BArevalodeLeon participa en la Sesión Solemne en Conmemoración del 203 Aniversario de la Independencia de la República de Guatemala. https://t.co/PzAQXP053x,,BArevalodeLeon,
GuaTv_,🔴 |  El presidente @BArevalodeLeon participa en la Sesión Solemne en Conmemoración del 203 Aniversario de la Independencia de la República de Guatemala. https://t.co/4hGrKpYWMr,,BArevalodeLeon,
BenitoC67601310,"DESINFORMACION... Ayer fueron entregadas 9,637 raciones, en las poblaciones más vulnerables... Y hasta yes máster, estaba molesto con la entrega, por que no le pudo meter mano al dinero de dichas raciones... GRACIAS @BArevalodeLeon por esa ayuda. https://t.co/ZgFAstBX8i",,BArevalodeLeon,Pablvito
Pablvito,"#URGENTE  Última hora!!! Ayer en su visita a quiche pobladores confrontan al Presidente Bernardo Arévalo en beneficiar con Bolsas solidarias de alimentos a grupos en específico y dejar a fuera a los más necesitados, 🚨

Asi es la primavera!!!! https://t.co/aQMeO5oaBl",URGENTE,,
BenitoC67601310,"@Pablvito DESINFORMACION... Ayer fueron entregadas 9,637 raciones, en las poblaciones más vulnerables... Y hasta yes máster, estaba molesto con la entrega, por que no le pudo meter mano al dinero de dichas raciones... GRACIAS @BArevalodeLeon por esa ayuda. https://t.co/ljX0SdvOSR",,"Pablvito, BArevalodeLeon",
JavierR07772901,"@Alfredo93672277 @wuatemalteco @jimmymoralesgt @DrGiammattei @BArevalodeLeon Semillero verdad? Son los únicos que ofenden, maltratan y agreden al no poseer argumentos.",,"Alfredo93672277, wuatemalteco, jimmymoralesgt, DrGiammattei, BArevalodeLeon",
Eduardo5554429,@EmisorasUnidas @BArevalodeLeon Ojalá le aprenda algo,,"EmisorasUnidas, BArevalodeLeon",
WendyNC07,@BArevalodeLeon Y qué decepción para el apellido Arévalo! Su pésima administración!,,BArevalodeLeon,
edixong40550140,@IvanDuque @BArevalodeLeon No hizo nada cuando pudo ya que putas puede hacer.?...mejor póngase las pilas y busque un muy buen abogado .para que responda por Pegasus ...,,"IvanDuque, BArevalodeLeon",
BillyC2023,"@LuisAlbert98610 @wichomarg @BArevalodeLeon No creo que te estabas riendo, más creo que estuvo a punto de darte un derrame por ver cómo tu ídolo de barro sirve solo para dos cosas! https://t.co/BnGjESwC5S",,"LuisAlbert98610, wichomarg, BArevalodeLeon",
Kaluc0,"@Soygeorgegt @MPguatemala @CC_Guatemala ahí están sus secuaces saqueando al pueblo.

@PGNguatemala para que están?

 @BArevalodeLeon girar instrucciones de una auditoria @Contraloria_gt y que caiga quien tenga que caer.",,"Soygeorgegt, MPguatemala, CC_Guatemala, PGNguatemala, BArevalodeLeon, Contraloria_gt",
BillyC2023,@BArevalodeLeon Eso definitivamente le diría quien fuera su padre! https://t.co/sEpruD1Uaa,,BArevalodeLeon,
cokyblancot,@UbaldoMacu @FJimenezmingob @BArevalodeLeon Hasta para netcentear son mulas,,"UbaldoMacu, FJimenezmingob, BArevalodeLeon",
la_mas_equis,@IvanDuque @BArevalodeLeon De qué hablaron? De quién es más lelo o quién da más risa?,,"IvanDuque, BArevalodeLeon",
MinfinGT,"Guatemala merece #Presupuesto2025 que responda a las necesidades de la ciudadanía en materia de salud, seguridad, educación e infraestructura vial 🇬🇹.

#UnPresupuestoParaLaPoblación
#MinfinSaleAdelante
#GuatemalaSaleAdelante
@jmenkos @BArevalodeLeon @GuatemalaGob https://t.co/ZRWw0wi4Q1","Presupuesto2025, UnPresupuestoParaLaPoblación, MinfinSaleAdelante, GuatemalaSaleAdelante","jmenkos, BArevalodeLeon, GuatemalaGob",
EmisorasUnidas,"#AHORA El expresidente de Colombia, Iván Duque, se reunió con el mandatario de Guatemala, @BArevalodeLeon | Vía Léster Ramírez https://t.co/aBBLsIwnPq",AHORA,BArevalodeLeon,
Oxlabal,"aquí todos calladitos, empezando por @BArevalodeLeon y su @MinexGt que ahí si no pronuncian para absolutamente nada...

🙄 pero fuera Venezuela... ya estarían implorando una invasión gringa",,"BArevalodeLeon, MinexGt",DanteForesi
DanteForesi,Esta imagen recorre el mundo. La Argentina de Milei. La que duele tanto... https://t.co/Q3CK3JvmSH,,,
SalQuevedo,@XelaNewsGt @lahoragt @soy_502 @EmisorasUnidas @Noti7Guatemala @VoxPopuliGuate @prensa_libre @BArevalodeLeon,,"XelaNewsGt, lahoragt, soy_502, EmisorasUnidas, Noti7Guatemala, VoxPopuliGuate, prensa_libre, BArevalodeLeon",
Pabloemili12345,@IvanDuque @BArevalodeLeon Ivan duque es un cerdo una basura hijo de puta . Un delincuente un bandido debería estar en la cárcel. payaso.,,"IvanDuque, BArevalodeLeon",
felixdaniel6,"@IvanDuque @BArevalodeLeon Oiga lacra, le dio Pegassus a Vicky ??",,"IvanDuque, BArevalodeLeon",
ROBERTR02304443,@chiqui5256 @Factor4_GT @BArevalodeLeon No es necesario ya tienen los diputados parilizado al gobierno con Más de 950 citaciones... Tranquilo...,,"chiqui5256, Factor4_GT, BArevalodeLeon",
SDBLOLO,"@BenitoC67601310 @arronchopa @BArevalodeLeon Democraticamente formado por firmas de muertos, dejen de defender a estas lacras y a las lacras de antes, todos son una mierda, no hemos tenido un solo politico bueno en decadas, todos son una kk",,"BenitoC67601310, arronchopa, BArevalodeLeon",
DoctorDelAgua,"Efectivamente @BArevalodeLeon , la mafia judicial guatemalteca NO quieren que veas lo que logró un verdadero líder como @lopezobrador_ al convocar su fuerza legislativa y ahora al Pueblo.

México muestra a todos EL CAMINO de cómo se le quita el poder a la mafia en los juzgados.",,"BArevalodeLeon, lopezobrador_",LaBase_TV
LaBase_TV,"🇲🇽 ¿En qué consiste la reforma judicial aprobada hoy en México?

Manu Levin e @inafinogenova han repasado los principales cambios que supone 👇🏽

📺 LA BASE | https://t.co/NhVjhBCAKH https://t.co/LFTJbbcqWP",,inafinogenova,
ROBERTR02304443,"@MarianelaPrez6 @Factor4_GT @BArevalodeLeon Tu comentario no es claro, la Muni  no está pagando nada...",,"MarianelaPrez6, Factor4_GT, BArevalodeLeon",
BillyC2023,"@FJimenezmingob @PNCdeGuatemala @mingobguate @DTransitoPNC @_SPGuatemala @DiariodeCA @AGN_noticias @Radio_TGW @GuatemalaGob @BArevalodeLeon Señor ministro, a mí me contactaron el día domingo y lunes para extorsionarme, ya puse la denuncia en el M.P pero le anticipo que también tengo lista mi arma para ""respetar los derechos humanos"" que usted defiende de esos criminales.",,"FJimenezmingob, PNCdeGuatemala, mingobguate, DTransitoPNC, _SPGuatemala, DiariodeCA, AGN_noticias, Radio_TGW, GuatemalaGob, BArevalodeLeon",
soydelfuego,"La nueva primavera o la nueva configuración del poder ladino en guatemala.

@KarinHerreraVP @BArevalodeLeon @msemillagt @GuatemalaGob https://t.co/fzZ1cHoOxd",,"KarinHerreraVP, BArevalodeLeon, msemillagt, GuatemalaGob",
