Username,rawTweet,hashtags,mentions,fromUser,clean_tweet,emojis_str,emoji_count
JavierR07772901,"@Alfredo93672277 @wuatemalteco @jimmymoralesgt @DrGiammattei @BArevalodeLeon Semillero verdad? Son los únicos que ofenden, maltratan y agreden al no poseer argumentos.",,"Alfredo93672277, wuatemalteco, jimmymoralesgt, DrGiammattei, BArevalodeLeon",,wuatemalteco jimmymoralesgt drgiammattei barevalodeleon semillero verdad únicos ofenden maltratan agreden poseer argumentos,,0
Eduardo5554429,@EmisorasUnidas @BArevalodeLeon Ojalá le aprenda algo,,"EmisorasUnidas, BArevalodeLeon",,emisorasunidas barevalodeleon ojalá aprenda,,0
WendyNC07,@BArevalodeLeon Y qué decepción para el apellido Arévalo! Su pésima administración!,,BArevalodeLeon,,barevalodeleon decepción apellido arévalo pésima administración,,0
edixong40550140,@IvanDuque @BArevalodeLeon No hizo nada cuando pudo ya que putas puede hacer.?...mejor póngase las pilas y busque un muy buen abogado .para que responda por Pegasus ...,,"IvanDuque, BArevalodeLeon",,ivanduque barevalodeleon hizo pudo putas puede hacer mejor póngase pilas busque buen abogado responda pegasus,,0
BillyC2023,"@LuisAlbert98610 @wichomarg @BArevalodeLeon No creo que te estabas riendo, más creo que estuvo a punto de darte un derrame por ver cómo tu ídolo de barro sirve solo para dos cosas! https://t.co/BnGjESwC5S",,"LuisAlbert98610, wichomarg, BArevalodeLeon",,wichomarg barevalodeleon creo riendo creo punto darte derrame ver cómo ídolo barro sirve solo dos cosas,,0
Kaluc0,"@Soygeorgegt @MPguatemala @CC_Guatemala ahí están sus secuaces saqueando al pueblo.

@PGNguatemala para que están?

 @BArevalodeLeon girar instrucciones de una auditoria @Contraloria_gt y que caiga quien tenga que caer.",,"Soygeorgegt, MPguatemala, CC_Guatemala, PGNguatemala, BArevalodeLeon, Contraloria_gt",,soygeorgegt mpguatemala cc guatemala ahí secuaces saqueando pueblo pgnguatemala barevalodeleon girar instrucciones auditoria contraloria gt caiga caer,,0
BillyC2023,@BArevalodeLeon Eso definitivamente le diría quien fuera su padre! https://t.co/sEpruD1Uaa,,BArevalodeLeon,,barevalodeleon definitivamente diría padre,,0
cokyblancot,@UbaldoMacu @FJimenezmingob @BArevalodeLeon Hasta para netcentear son mulas,,"UbaldoMacu, FJimenezmingob, BArevalodeLeon",,ubaldomacu fjimenezmingob barevalodeleon netcentear mulas,,0
la_mas_equis,@IvanDuque @BArevalodeLeon De qué hablaron? De quién es más lelo o quién da más risa?,,"IvanDuque, BArevalodeLeon",,ivanduque barevalodeleon hablaron quién lelo quién da risa,,0
MinfinGT,"Guatemala merece #Presupuesto2025 que responda a las necesidades de la ciudadanía en materia de salud, seguridad, educación e infraestructura vial 🇬🇹.

#UnPresupuestoParaLaPoblación
#MinfinSaleAdelante
#GuatemalaSaleAdelante
@jmenkos @BArevalodeLeon @GuatemalaGob https://t.co/ZRWw0wi4Q1","Presupuesto2025, UnPresupuestoParaLaPoblación, MinfinSaleAdelante, GuatemalaSaleAdelante","jmenkos, BArevalodeLeon, GuatemalaGob",,guatemala merece responda necesidades ciudadanía materia salud seguridad educación infraestructura vial unpresupuestoparalapoblación minfinsaleadelante guatemalasaleadelante jmenkos barevalodeleon guatemalagob,🇬🇹,1
EmisorasUnidas,"#AHORA El expresidente de Colombia, Iván Duque, se reunió con el mandatario de Guatemala, @BArevalodeLeon | Vía Léster Ramírez https://t.co/aBBLsIwnPq",AHORA,BArevalodeLeon,,ahora expresidente colombia iván duque reunió mandatario guatemala barevalodeleon léster ramírez,,0
Oxlabal,"aquí todos calladitos, empezando por @BArevalodeLeon y su @MinexGt que ahí si no pronuncian para absolutamente nada...

🙄 pero fuera Venezuela... ya estarían implorando una invasión gringa",,"BArevalodeLeon, MinexGt",DanteForesi,aquí calladitos empezando barevalodeleon minexgt ahí si pronuncian absolutamente venezuela implorando invasión gringa,🙄,1
DanteForesi,Esta imagen recorre el mundo. La Argentina de Milei. La que duele tanto... https://t.co/Q3CK3JvmSH,,,,imagen recorre mundo argentina milei duele,,0
SalQuevedo,@XelaNewsGt @lahoragt @soy_502 @EmisorasUnidas @Noti7Guatemala @VoxPopuliGuate @prensa_libre @BArevalodeLeon,,"XelaNewsGt, lahoragt, soy_502, EmisorasUnidas, Noti7Guatemala, VoxPopuliGuate, prensa_libre, BArevalodeLeon",,xelanewsgt lahoragt emisorasunidas voxpopuliguate prensa libre barevalodeleon,,0
Pabloemili12345,@IvanDuque @BArevalodeLeon Ivan duque es un cerdo una basura hijo de puta . Un delincuente un bandido debería estar en la cárcel. payaso.,,"IvanDuque, BArevalodeLeon",,ivanduque barevalodeleon ivan duque cerdo basura hijo puta delincuente bandido debería cárcel payaso,,0
felixdaniel6,"@IvanDuque @BArevalodeLeon Oiga lacra, le dio Pegassus a Vicky ??",,"IvanDuque, BArevalodeLeon",,ivanduque barevalodeleon oiga lacra dio pegassus vicky,,0
ROBERTR02304443,@chiqui5256 @Factor4_GT @BArevalodeLeon No es necesario ya tienen los diputados parilizado al gobierno con Más de 950 citaciones... Tranquilo...,,"chiqui5256, Factor4_GT, BArevalodeLeon",,gt barevalodeleon necesario diputados parilizado gobierno citaciones tranquilo,,0
SDBLOLO,"@BenitoC67601310 @arronchopa @BArevalodeLeon Democraticamente formado por firmas de muertos, dejen de defender a estas lacras y a las lacras de antes, todos son una mierda, no hemos tenido un solo politico bueno en decadas, todos son una kk",,"BenitoC67601310, arronchopa, BArevalodeLeon",,arronchopa barevalodeleon democraticamente formado firmas muertos dejen defender lacras lacras mierda solo politico bueno decadas kk,,0
DoctorDelAgua,"Efectivamente @BArevalodeLeon , la mafia judicial guatemalteca NO quieren que veas lo que logró un verdadero líder como @lopezobrador_ al convocar su fuerza legislativa y ahora al Pueblo.

México muestra a todos EL CAMINO de cómo se le quita el poder a la mafia en los juzgados.",,"BArevalodeLeon, lopezobrador_",LaBase_TV,efectivamente barevalodeleon mafia judicial guatemalteca quieren veas logró verdadero líder lopezobrador convocar fuerza legislativa ahora pueblo méxico muestra camino cómo quita poder mafia juzgados,,0
LaBase_TV,"🇲🇽 ¿En qué consiste la reforma judicial aprobada hoy en México?

Manu Levin e @inafinogenova han repasado los principales cambios que supone 👇🏽

📺 LA BASE | https://t.co/NhVjhBCAKH https://t.co/LFTJbbcqWP",,inafinogenova,,consiste reforma judicial aprobada hoy méxico manu levin inafinogenova repasado principales cambios supone base,🇲🇽 👇🏽 📺,3
ROBERTR02304443,"@MarianelaPrez6 @Factor4_GT @BArevalodeLeon Tu comentario no es claro, la Muni  no está pagando nada...",,"MarianelaPrez6, Factor4_GT, BArevalodeLeon",,gt barevalodeleon comentario claro muni pagando,,0
BillyC2023,"@FJimenezmingob @PNCdeGuatemala @mingobguate @DTransitoPNC @_SPGuatemala @DiariodeCA @AGN_noticias @Radio_TGW @GuatemalaGob @BArevalodeLeon Señor ministro, a mí me contactaron el día domingo y lunes para extorsionarme, ya puse la denuncia en el M.P pero le anticipo que también tengo lista mi arma para ""respetar los derechos humanos"" que usted defiende de esos criminales.",,"FJimenezmingob, PNCdeGuatemala, mingobguate, DTransitoPNC, _SPGuatemala, DiariodeCA, AGN_noticias, Radio_TGW, GuatemalaGob, BArevalodeLeon",,fjimenezmingob pncdeguatemala mingobguate dtransitopnc spguatemala diariodeca agn noticias radio tgw guatemalagob barevalodeleon señor ministro contactaron día domingo lunes extorsionarme puse denuncia m p anticipo lista arma respetar derechos humanos usted defiende criminales,,0
soydelfuego,"La nueva primavera o la nueva configuración del poder ladino en guatemala.

@KarinHerreraVP @BArevalodeLeon @msemillagt @GuatemalaGob https://t.co/fzZ1cHoOxd",,"KarinHerreraVP, BArevalodeLeon, msemillagt, GuatemalaGob",,nueva primavera nueva configuración poder ladino guatemala karinherreravp barevalodeleon msemillagt guatemalagob,,0
jsotsot,@IvanDuque @BArevalodeLeon Haciendo fraking verdad?,,"IvanDuque, BArevalodeLeon",,ivanduque barevalodeleon haciendo fraking verdad,,0
josejorgemonroy,@chepechapin58 @MaynorEstradaGT @BArevalodeLeon @GuatemalaGob Excellent presidente @BArevalodeLeon poco  a poco van despegando y ver llorar a los fachos es satisfacción.,,"chepechapin58, MaynorEstradaGT, BArevalodeLeon, GuatemalaGob, BArevalodeLeon",,maynorestradagt barevalodeleon guatemalagob excellent presidente barevalodeleon van despegando ver llorar fachos satisfacción,,0
Vertical_dorsal,"@V_de_Vengaza @BArevalodeLeon @FelixSinExcusas Tranquilo se quedó el ""norte dame""preso debería estar basura",,"V_de_Vengaza, BArevalodeLeon, FelixSinExcusas",,v vengaza barevalodeleon felixsinexcusas tranquilo quedó norte dame preso debería basura,,0
BillyC2023,"@ElAnalitico_3 @abner12a @FJimenezmingob @PNCdeGuatemala @mingobguate @DTransitoPNC @_SPGuatemala @DiariodeCA @AGN_noticias @Radio_TGW @GuatemalaGob @BArevalodeLeon El analítico expresó su opinión con argumentos muy sólidos! ,,😂🤣

Tiene mayor capacidad de análisis un niño de kinder que tu persona. https://t.co/AuwFZP0nYs",,"ElAnalitico_3, abner12a, FJimenezmingob, PNCdeGuatemala, mingobguate, DTransitoPNC, _SPGuatemala, DiariodeCA, AGN_noticias, Radio_TGW, GuatemalaGob, BArevalodeLeon",,elanalitico fjimenezmingob pncdeguatemala mingobguate dtransitopnc spguatemala diariodeca agn noticias radio tgw guatemalagob barevalodeleon analítico expresó opinión argumentos sólidos mayor capacidad análisis niño kinder persona,😂 🤣,2
Patrici07680625,@BenitoC67601310 @ElQueNews @GuatemalaGob @BArevalodeLeon 👌👌👌,,"BenitoC67601310, ElQueNews, GuatemalaGob, BArevalodeLeon",,elquenews guatemalagob barevalodeleon,👌 👌 👌,3
ROBERTR02304443,@Mynor007 @Factor4_GT @BArevalodeLeon https://t.co/GcFHyQerz6,,"Mynor007, Factor4_GT, BArevalodeLeon",,gt barevalodeleon,,0
mys_servicios,"@BArevalodeLeon Nayo, pero vos estás haciendo 💩 cualquier buen recuerdo.",,BArevalodeLeon,,barevalodeleon nayo vos haciendo cualquier buen recuerdo,💩,1
ROBERTR02304443,@gtj_uan @Factor4_GT @BArevalodeLeon @muniguate https://t.co/4lAyOjCrC0,,"gtj_uan, Factor4_GT, BArevalodeLeon, muniguate",,gtj uan gt barevalodeleon muniguate,,0
ROBERTR02304443,@MarioChiu2 @Factor4_GT @BArevalodeLeon @RQuinonezL @muniguate https://t.co/kzNQJX8IZq,,"MarioChiu2, Factor4_GT, BArevalodeLeon, RQuinonezL, muniguate",,gt barevalodeleon rquinonezl muniguate,,0
fiona140816,@PEdgar05 @BArevalodeLeon Entonces Padre? Que de golpe de Estado? Ilústreme porfa...,,"PEdgar05, BArevalodeLeon",,barevalodeleon entonces padre golpe ilústreme porfa,,0
LUISCOR71885428,@BArevalodeLeon Jajajajaja,,BArevalodeLeon,,barevalodeleon jajajajaja,,0
